"Time","Vermentino : Soil Moisture 12"" : [Soil Moisture] (centiBar)","Vermentino : Soil Moisture 36"" : [Soil Moisture] (centiBar)"
"10/08/2013 00:00","93.49","73.70"
"10/09/2013 00:00","67.37","72.80"
"10/10/2013 00:00","43.05","71.76"
"10/11/2013 00:00","50.81","70.46"
"10/12/2013 00:00","57.07","68.71"
"10/13/2013 00:00","62.80","67.81"
"10/14/2013 00:00","65.10","67.25"
"10/15/2013 00:00","56.22","66.72"
"10/16/2013 00:00","45.41","66.20"
"10/17/2013 00:00","60.24","65.72"
"10/18/2013 00:00","64.99","65.31"
"10/19/2013 00:00","68.30","64.92"
"10/20/2013 00:00","73.33","64.49"
"10/21/2013 00:00","77.72","64.10"
"10/22/2013 00:00","60.29","63.72"
"10/23/2013 00:00","44.35","63.24"
"10/24/2013 00:00","48.13","64.33"
"10/25/2013 00:00","43.75","64.00"
"10/26/2013 00:00","53.50","63.32"
"10/27/2013 00:00","60.54","61.94"
"10/28/2013 00:00","63.98","61.38"
"10/29/2013 00:00","69.50","61.06"
"10/30/2013 00:00","73.35","61.01"
"10/31/2013 00:00","62.81","60.61"
"11/01/2013 00:00","62.13","60.31"
"11/02/2013 00:00","63.52","60.37"
"11/03/2013 00:00","56.54","60.45"
"11/03/2013 23:00","41.74","60.39"
"11/04/2013 23:00","50.25","60.20"
"11/05/2013 00:00","50.56","60.20"
"11/06/2013 00:00","57.23","60.11"
"11/07/2013 00:00","61.50","59.93"
"11/08/2013 00:00","64.25","59.99"
"11/09/2013 00:00","66.36","59.89"
"11/10/2013 00:00","67.73","59.79"
"11/11/2013 00:00","68.61","59.58"
"11/12/2013 00:00","69.49","59.46"
"11/13/2013 00:00","70.48","59.28"
"11/14/2013 00:00","71.53","59.22"
"11/15/2013 00:00","73.90","59.12"
"11/16/2013 00:00","75.56","58.90"
"11/17/2013 00:00","76.89","58.71"
"11/18/2013 00:00","72.52","58.51"
"11/19/2013 00:00","71.23","58.42"
"11/20/2013 00:00","70.99","58.29"
"11/21/2013 00:00","70.76","58.33"
"11/22/2013 00:00","77.54","58.54"
"11/23/2013 00:00","80.71","59.52"
"11/24/2013 00:00","74.28","59.34"
"11/25/2013 00:00","68.62","58.57"
"11/26/2013 00:00","67.51","58.38"
"11/27/2013 00:00","67.55","58.36"
"11/28/2013 00:00","67.97","58.42"
"11/29/2013 00:00","68.86","58.26"
"11/30/2013 00:00","69.69","58.24"
"12/01/2013 00:00","69.63","58.13"
"12/02/2013 00:00","69.85","58.03"
"12/03/2013 00:00","70.32","58.03"
"12/04/2013 00:00","70.97","57.92"
"12/05/2013 00:00","72.98","58.48"
"12/06/2013 00:00","71.45","57.83"
"12/07/2013 00:00","70.83","57.72"
"12/08/2013 00:00","70.69","57.68"
"12/09/2013 00:00","70.28","58.13"
"12/10/2013 00:00","68.98","57.93"
"12/11/2013 00:00","68.21","58.06"
"12/12/2013 00:00","68.51","58.21"
"12/13/2013 00:00","69.14","58.23"
"12/14/2013 00:00","69.68","58.18"
"12/15/2013 00:00","70.26","58.07"
"12/16/2013 00:00","71.25","57.91"
"12/17/2013 00:00","73.14","57.74"
"12/18/2013 00:00","75.55","57.51"
"12/19/2013 00:00","77.87","57.16"
"12/20/2013 00:00","81.14","57.12"
"12/21/2013 00:00","80.69","57.28"
"12/22/2013 00:00","78.54","56.81"
"12/23/2013 00:00","78.00","56.62"
"12/24/2013 00:00","78.51","56.58"
"12/25/2013 00:00","80.01","56.51"
"12/26/2013 00:00","82.98","56.39"
"12/27/2013 00:00","85.39","56.17"
"12/28/2013 00:00","88.03","55.99"
"12/29/2013 00:00","91.19","55.82"
"12/30/2013 00:00","93.18","55.65"
"12/31/2013 00:00","72.77","55.51"
"01/01/2014 00:00","44.19","55.41"
"01/02/2014 00:00","51.87","55.29"
"01/03/2014 00:00","54.91","55.26"
"01/04/2014 00:00","57.02","55.11"
"01/05/2014 00:00","58.56","54.96"
"01/06/2014 00:00","59.58","54.80"
"01/07/2014 00:00","60.80","54.64"
"01/08/2014 00:00","61.70","54.47"
"01/09/2014 00:00","62.16","54.32"
"01/10/2014 00:00","62.88","54.41"
"01/11/2014 00:00","63.08","54.34"
"01/12/2014 00:00","63.91","54.34"
"01/13/2014 00:00","65.12","54.26"
"01/14/2014 00:00","66.31","54.29"
"01/15/2014 00:00","68.11","54.18"
"01/16/2014 00:00","70.31","54.13"
"01/17/2014 00:00","72.53","53.98"
"01/18/2014 00:00","75.68","53.89"
"01/19/2014 00:00","78.07","53.78"
"01/20/2014 00:00","79.51","53.66"
"01/21/2014 00:00","54.76","53.53"
"01/22/2014 00:00","45.00","53.49"
"01/23/2014 00:00","52.17","53.38"
"01/24/2014 00:00","55.35","53.31"
"01/25/2014 00:00","57.34","53.30"
"01/26/2014 00:00","59.08","53.13"
"01/27/2014 00:00","60.68","53.10"
"01/28/2014 00:00","61.75","52.98"
"01/29/2014 00:00","62.89","52.95"
"01/30/2014 00:00","64.09","52.86"
"01/31/2014 00:00","65.38","52.88"
"02/01/2014 00:00","67.33","52.77"
"02/02/2014 00:00","65.27","52.83"
"02/03/2014 00:00","64.43","52.79"
"02/04/2014 00:00","64.96","53.01"
"02/05/2014 00:00","66.06","53.19"
"02/06/2014 00:00","67.24","53.38"
"02/07/2014 00:00","69.22","53.51"
"02/08/2014 00:00","71.81","55.11"
"02/09/2014 00:00","73.28","54.90"
"02/10/2014 00:00","74.54","54.49"
"02/11/2014 00:00","76.76","54.22"
"02/12/2014 00:00","80.21","54.11"
"02/13/2014 00:00","85.11","54.11"
"02/14/2014 00:00","92.29","54.09"
"02/15/2014 00:00","101.61","54.09"
"02/16/2014 00:00","111.68","53.98"
"02/17/2014 00:00","119.56","53.95"
"02/18/2014 00:00","78.76","53.96"
"02/19/2014 00:00","48.12","54.95"
"02/20/2014 00:00","55.98","53.82"
"02/21/2014 00:00","59.76","53.60"
"02/22/2014 00:00","62.08","53.38"
"02/23/2014 00:00","63.96","53.23"
"02/24/2014 00:00","65.42","53.07"
"02/25/2014 00:00","67.20","52.97"
"02/26/2014 00:00","69.24","52.91"
"02/27/2014 00:00","71.45","52.79"
"02/28/2014 00:00","73.48","53.00"
"03/01/2014 00:00","53.20","47.26"
"03/02/2014 00:00","55.36","1.62"
"03/03/2014 00:00","45.76","-1.12"
"03/04/2014 00:00","45.77","-0.91"
"03/05/2014 00:00","48.09","2.04"
"03/06/2014 00:00","54.41","5.37"
"03/07/2014 00:00","58.06","6.64"
"03/08/2014 00:00","62.09","7.54"
"03/09/2014 00:00","64.82","8.26"
"03/10/2014 01:00","67.34","8.94"
"03/11/2014 00:00","69.76","9.60"
"03/12/2014 00:00","72.24","10.32"
"03/13/2014 00:00","74.36","11.08"
"03/14/2014 00:00","77.11","11.90"
"03/15/2014 00:00","78.23","12.77"
"03/16/2014 00:00","75.33","13.67"
"03/17/2014 00:00","45.63","14.61"
"03/18/2014 00:00","59.34","15.56"
"03/19/2014 00:00","63.83","16.55"
"03/20/2014 00:00","67.75","17.55"
"03/21/2014 00:00","73.08","18.64"
"03/22/2014 00:00","79.70","19.80"
"03/23/2014 00:00","57.75","20.98"
"03/24/2014 00:00","51.82","22.11"
"03/25/2014 00:00","59.26","23.15"
"03/26/2014 00:00","62.68","24.10"
"03/27/2014 00:00","65.14","25.03"
"03/28/2014 00:00","67.69","25.99"
"03/29/2014 00:00","72.88","26.97"
"03/30/2014 00:00","85.88","28.04"
"03/31/2014 00:00","106.17","29.30"
"04/01/2014 00:00","122.18","30.73"
"04/02/2014 00:00","128.81","32.26"
"04/03/2014 00:00","126.40","33.61"
"04/04/2014 00:00","125.17","34.88"
"04/05/2014 00:00","130.01","36.14"
"04/06/2014 00:00","133.54","37.40"
"04/07/2014 00:00","139.33","38.70"
"04/08/2014 00:00","147.39","40.13"
"04/09/2014 00:00","84.92","41.66"
"04/10/2014 00:00","56.59","43.00"
"04/11/2014 00:00","53.68","44.05"
"04/12/2014 00:00","76.51","44.79"
"04/13/2014 00:00","93.08","45.40"
"04/14/2014 00:00","102.09","45.88"
"04/15/2014 00:00","111.85","46.28"
"04/16/2014 00:00","95.54","46.82"
"04/17/2014 00:00","50.16","47.43"
"04/18/2014 00:00","66.87","47.87"
"04/19/2014 00:00","78.42","48.13"
"04/20/2014 00:00","90.61","48.21"
"04/21/2014 00:00","105.76","48.43"
"04/22/2014 00:00","120.62","48.88"
"04/23/2014 00:00","127.62","49.45"
"04/24/2014 00:00","121.36","50.01"
"04/25/2014 00:00","49.89","50.60"
"04/26/2014 00:00","64.78","51.02"
"04/27/2014 00:00","72.51","51.20"
"04/28/2014 00:00","77.80","51.39"
"04/29/2014 00:00","88.87","51.57"
"04/30/2014 00:00","106.89","51.97"
"05/01/2014 00:00","121.59","52.48"
"05/02/2014 00:00","132.23","53.15"
"05/03/2014 00:00","122.54","53.91"
"05/04/2014 00:00","58.17","54.70"
"05/05/2014 00:00","84.63","55.26"
"05/06/2014 00:00","101.16","55.61"
"05/07/2014 00:00","108.95","55.88"
"05/08/2014 00:00","111.46","56.18"
"05/09/2014 00:00","114.60","56.55"
"05/10/2014 00:00","121.45","57.19"
"05/11/2014 00:00","128.48","58.09"
"05/12/2014 00:00","133.89","59.08"
"05/13/2014 00:00","116.19","60.29"
"05/14/2014 00:00","58.88","61.57"
"05/15/2014 00:00","85.23","62.43"
"05/16/2014 00:00","109.46","63.05"
"05/17/2014 00:00","93.05","64.11"
"05/18/2014 00:00","68.24","65.33"
"05/19/2014 00:00","94.40","66.13"
"05/20/2014 00:00","117.07","67.03"
"05/21/2014 00:00","128.96","68.31"
"05/22/2014 00:00","133.43","69.93"
"05/23/2014 00:00","139.63","71.86"
"05/24/2014 00:00","145.47","74.08"
"05/25/2014 00:00","150.37","76.50"
"05/26/2014 00:00","153.20","78.20"
"05/27/2014 00:00","100.13","78.92"
"05/28/2014 00:00","70.18","79.02"
"05/29/2014 00:00","95.72","78.14"
"05/30/2014 00:00","117.57","77.14"
"05/31/2014 00:00","132.41","77.36"
"06/01/2014 00:00","140.80","78.30"
"06/02/2014 00:00","147.13","80.08"
"06/03/2014 00:00","154.99","82.37"
"06/04/2014 00:00","101.38","84.78"
"06/05/2014 00:00","75.86","85.26"
"06/06/2014 00:00","106.37","83.09"
"06/07/2014 00:00","130.95","82.37"
"06/08/2014 00:00","142.22","82.78"
"06/09/2014 00:00","99.82","83.53"
"06/10/2014 00:00","70.68","82.99"
"06/11/2014 00:00","94.88","80.34"
"06/12/2014 00:00","113.61","77.74"
"06/13/2014 00:00","132.02","76.91"
"06/14/2014 00:00","93.44","77.74"
"06/15/2014 00:00","64.96","77.10"
"06/16/2014 00:00","84.93","74.95"
"06/17/2014 00:00","103.37","72.94"
"06/18/2014 00:00","121.53","72.07"
"06/19/2014 00:00","133.07","72.44"
"06/20/2014 00:00","141.65","74.14"
"06/21/2014 00:00","149.94","76.94"
"06/22/2014 00:00","159.85","79.86"
"06/23/2014 00:00","166.20","82.00"
"06/24/2014 00:00","110.83","83.93"
"06/25/2014 00:00","66.89","83.54"
"06/26/2014 00:00","85.73","80.14"
"06/27/2014 00:00","104.30","77.26"
"06/28/2014 00:00","85.65","75.50"
"06/29/2014 00:00","63.84","74.16"
"06/30/2014 00:00","86.07","72.50"
"07/01/2014 00:00","72.24","71.13"
"07/02/2014 00:00","73.73","69.95"
"07/03/2014 00:00","93.98","69.02"
"07/04/2014 00:00","81.83","68.57"
"07/05/2014 00:00","68.90","68.57"
"07/06/2014 00:00","75.01","68.25"
"07/07/2014 00:00","67.49","68.04"
"07/08/2014 00:00","95.43","67.69"
"07/09/2014 00:00","65.73","67.50"
"07/10/2014 00:00","63.82","67.10"
"07/11/2014 00:00","92.32","66.38"
"07/12/2014 00:00","115.94","65.71"
"07/13/2014 00:00","99.93","65.85"
"07/14/2014 00:00","62.82","66.33"
"07/15/2014 00:00","85.69","66.11"
"07/16/2014 00:00","102.95","65.59"
"07/17/2014 00:00","77.70","65.34"
"07/18/2014 00:00","76.30","65.33"
"07/19/2014 00:00","99.07","65.09"
"07/20/2014 00:00","121.44","65.53"
"07/21/2014 00:00","111.75","67.07"
"07/22/2014 00:00","60.22","68.69"
"07/23/2014 00:00","89.09","68.70"
"07/24/2014 00:00","79.83","68.68"
"07/25/2014 00:00","81.19","68.81"
"07/26/2014 00:00","111.35","68.93"
"07/27/2014 00:00","85.06","69.23"
"07/28/2014 00:00","74.60","69.33"
"07/29/2014 00:00","98.58","68.94"
"07/30/2014 00:00","128.30","69.57"
"07/31/2014 00:00","91.06","71.93"
"08/01/2014 00:00","74.53","73.03"
"08/02/2014 00:00","102.59","72.19"
"08/03/2014 00:00","80.08","71.38"
"08/04/2014 00:00","48.70","70.21"
"08/05/2014 00:00","61.02","68.50"
"08/06/2014 00:00","84.27","67.22"
"08/07/2014 00:00","99.29","66.56"
"08/08/2014 00:00","88.55","66.09"
"08/09/2014 00:00","53.80","65.78"
"08/10/2014 00:00","68.60","65.36"
"08/11/2014 00:00","81.88","64.99"
"08/12/2014 00:00","76.79","64.79"
"08/13/2014 00:00","55.62","64.72"
"08/14/2014 00:00","72.03","64.60"
"08/15/2014 00:00","88.25","64.16"
"08/16/2014 00:00","106.83","64.07"
"08/17/2014 00:00","125.85","64.44"
"08/18/2014 00:00","138.57","65.45"
"08/19/2014 00:00","112.93","67.46"
"08/20/2014 00:00","59.87","69.31"
"08/21/2014 00:00","68.38","68.79"
"08/22/2014 00:00","77.13","67.60"
"08/23/2014 00:00","93.71","66.67"
"08/24/2014 00:00","111.65","66.69"
"08/25/2014 00:00","88.67","67.47"
"08/26/2014 00:00","65.43","67.96"
"08/27/2014 00:00","83.95","67.89"
"08/28/2014 00:00","79.44","67.69"
"08/29/2014 00:00","56.49","67.86"
"08/30/2014 00:00","61.75","67.85"
"08/31/2014 00:00","67.24","67.62"
"09/01/2014 00:00","60.37","67.37"
"09/02/2014 00:00","78.58","67.01"
"09/03/2014 00:00","92.20","66.58"
"09/04/2014 00:00","104.10","66.33"
"09/05/2014 00:00","90.16","66.08"
"09/06/2014 00:00","55.39","65.86"
"09/07/2014 00:00","70.92","65.67"
"09/08/2014 00:00","85.79","65.50"
"09/09/2014 00:00","98.39","65.46"
"09/10/2014 00:00","113.97","65.95"
"09/11/2014 00:00","84.29","67.03"
"09/12/2014 00:00","66.08","67.86"
"09/13/2014 00:00","83.75","67.87"
"09/14/2014 00:00","104.99","67.96"
"09/15/2014 00:00","129.99","69.25"
"09/16/2014 00:00","145.02","72.07"
"09/17/2014 00:00","102.55","75.95"
"09/18/2014 00:00","69.16","77.73"
"09/19/2014 00:00","84.04","75.98"
"09/20/2014 00:00","93.39","73.93"
"09/21/2014 00:00","102.80","72.24"
"09/22/2014 00:00","114.18","71.38"
"09/23/2014 00:00","132.07","72.05"
"09/24/2014 00:00","98.99","74.72"
"09/25/2014 00:00","68.54","76.53"
"09/26/2014 00:00","87.62","75.59"
