"Time","Primitivo : Soil Moisture : 12"" : [Soil Moisture] (centiBar)","Primitivo : Soil Moisture : 24"" : [Soil Moisture] (centiBar)","Primitivo : Soil Moisture : 36"" : [Soil Moisture] (centiBar)"
"10/08/2013 00:00","435.76","150.94","99.14"
"10/09/2013 00:00","262.70","106.90","108.72"
"10/10/2013 00:00","173.62","79.64","109.63"
"10/11/2013 00:00","170.93","76.89","112.50"
"10/12/2013 00:00","237.03","80.46","108.35"
"10/13/2013 00:00","261.57","83.59","107.50"
"10/14/2013 00:00","276.76","86.34","108.26"
"10/15/2013 00:00","296.44","90.11","108.40"
"10/16/2013 00:00","311.97","93.71","109.12"
"10/17/2013 00:00","325.00","97.20","109.61"
"10/18/2013 00:00","339.79","101.44","110.09"
"10/19/2013 00:00","266.05","89.69","116.49"
"10/20/2013 00:00","219.49","77.04","118.93"
"10/21/2013 00:00","257.71","83.93","117.11"
"10/22/2013 00:00","184.81","68.77","126.17"
"10/23/2013 00:00","204.76","71.20","124.49"
"10/24/2013 00:00","233.74","77.50","122.97"
"10/25/2013 00:00","249.34","80.95","122.79"
"10/26/2013 00:00","280.32","87.20","129.60"
"10/27/2013 00:00","291.79","87.56","121.79"
"10/28/2013 00:00","298.31","90.45","119.79"
"10/29/2013 00:00","279.33","96.17","118.44"
"10/30/2013 00:00","298.94","96.27","117.45"
"10/31/2013 00:00","323.38","97.27","117.80"
"11/01/2013 00:00","341.26","98.66","117.81"
"11/02/2013 00:00","348.73","99.34","117.60"
"11/03/2013 00:00","350.17","99.48","117.72"
"11/03/2013 23:00","353.50","101.51","117.55"
"11/04/2013 23:00","362.22","103.30","117.91"
"11/05/2013 00:00","362.69","103.52","117.66"
"11/06/2013 00:00","377.38","106.27","117.76"
"11/07/2013 00:00","385.80","107.58","118.11"
"11/08/2013 00:00","379.13","104.98","118.69"
"11/09/2013 00:00","385.91","107.05","118.99"
"11/10/2013 00:00","395.96","109.78","119.68"
"11/11/2013 00:00","400.25","111.16","120.44"
"11/12/2013 00:00","403.72","111.54","121.28"
"11/13/2013 00:00","407.45","112.09","122.43"
"11/14/2013 00:00","400.15","108.97","123.33"
"11/15/2013 00:00","400.16","108.74","124.22"
